Empresa,RUT,Sector,Planta,Region,Comuna,Proceso_Critico,Oportunidad_Control,Oportunidad_Instrumentacion,Oportunidad_Electrica,Pagina_Web,LinkedIn,Email,Sucursales
Papeles Bío Bío S.A.,77.562.510-4,"Celulosa, Papel y Vidrio",Planta San Pedro de la Paz,Biobío,San Pedro de la Paz,Refino mecánico de astillas de madera para pulpa termomecánica (TMP) y formación/secado continuo en máquina papelera.,DCS de control de refinación de astillas; sistema QCS de lazo cerrado para humedad y peso base de máquina de papel.,Sensores de consistencia óptica de pulpa; transmisores de presión diferencial para rodillos de vapor.,Motores síncronos de media tensión para refinadores (10 MW); variadores multieje para rodillos de la máquina papelera.,https://www.papelesbiobio.cl,https://www.linkedin.com/company/papeles-bio-bio/,contacto@papelesbiobio.cl,1
Celulosa Arauco y Constitución S.A.,93.458.000-1,"Celulosa, Papel y Vidrio",Complejo Forestal Horcones (MAPA),Biobío,Arauco,"Digestión continua Kraft de celulosa, evaporación de licor negro y caldera de recuperación de biomasa de gran escala.",DCS de gran escala para control de digestores químicos y secador; SIS certificado SIL3 (ESD) para caldera de recuperación.,Sensores CEMS en chimeneas de caldera de recuperación; medidores Coriolis de reactivos químicos y cloro.,Sistemas de turbogeneración controlados por PLC; variadores de frecuencia de media tensión en sopladores de aire.,https://www.arauco.com,https://www.linkedin.com/company/arauco/,mapa@arauco.com,10
Celulosa Arauco y Constitución S.A.,93.458.000-1,"Celulosa, Papel y Vidrio",Complejo Nueva Aldea,Ñuble,Ránquil,"Líneas continuas de lavado, blanqueo de pulpa Kraft y generación eléctrica por turbinas de vapor de biomasa.",DCS para la planta de blanqueamiento y DCS de tratamiento de efluentes; integración SCADA de subestación.,Sensores de pH y ORP en blanqueo; analizadores de consistencia en digestor.,Arrancadores de compresores de alta tensión; VFDs en bombas químicas; celdas eléctricas inteligentes.,https://www.arauco.com,https://www.linkedin.com/company/arauco/,nuevaaldea@arauco.com,10
Celulosa Arauco y Constitución S.A.,93.458.000-1,"Celulosa, Papel y Vidrio",Planta Celulosa Constitución,Maule,Constitución,Digestores Batch de celulosa Kraft cruda (no blanqueada) y producción de papel Kraft para embalaje.,DCS para migración de digestores Batch heredados para optimizar el consumo de vapor y lazos de cocción.,Celdas de carga de astillas; transmisores de consistencia de pulpa de cizallamiento clásico.,Motores eléctricos estándar con variadores de frecuencia; tableros de distribución de fuerza en baja tensión.,https://www.arauco.com,https://www.linkedin.com/company/arauco/,constitucion@arauco.com,10
CMPC Pulp SpA,96.532.330-9,"Celulosa, Papel y Vidrio",Planta Celulosa Laja,Biobío,Laja,"Fabricación de celulosa Kraft y papel, recuperación química de soda en horno de cal y caustificación.",DCS continuo de caustificación y horno de cal; control avanzado de combustión; SIS SIL3 de quemadores de horno de cal.,Analizadores de gases de combustión en horno de cal; medidores de nivel de radar sin contacto.,Motores de refinadores de media tensión; VFDs en soplantes e inyectores de aire; CCMs industriales.,https://www.cmpcpulp.com,https://www.linkedin.com/company/cmpc/,laja@cmpc.cl,8
CMPC Pulp SpA,96.532.330-9,"Celulosa, Papel y Vidrio",Planta Celulosa Santa Fe,Biobío,Nacimiento,Producción masiva de celulosa Kraft blanqueada de fibra corta de eucalipto en digestores continuos y caldera de biomasa.,DCS para reactores digestores continuos de alta producción; optimizadores de lavado de celulosa MPC; SIS de calderas.,Transmisores de consistencia por dispersión de luz; flujómetros magnéticos de licor blanco y negro.,VFDs de gran potencia en bombas de alta presión; celdas eléctricas en media tensión integradas.,https://www.cmpcpulp.com,https://www.linkedin.com/company/cmpc/,santafe@cmpc.cl,8
Masisa S.A.,96.802.690-9,"Celulosa, Papel y Vidrio",Planta Tableros Cabrero,Biobío,Cabrero,"Secado térmico de astillas de madera, mezcla de resinas adhesivas sintéticas y prensado continuo de tableros MDF/MDP.",DCS para secador térmico de astillas; control automático de dosificación gravimétrica de resinas químicas por PLC.,Sensores de humedad infrarrojos en astillas secas; celdas de carga en silos; transmisores de presión en prensas hidráulicas.,Motores principales de prensas y extractores con VFD; tableros de fuerza auxiliar de media tensión.,https://www.masisa.com,https://www.linkedin.com/company/masisa/,cabrero@masisa.com,4
Forestal y Papelera Concepción S.A. (FPC),96.528.420-6,"Celulosa, Papel y Vidrio",Planta Papel Tissue Coronel,Biobío,Coronel,"Molienda de pulpa de papel reciclada, formación de hoja de papel tissue en máquina continua y secador Yankee.",QCS para control de humedad y espesor de papel tissue; control automático de velocidad de rodillos con PLC HMI.,Transmisores de consistencia de pulpa; sensores de temperatura de rodillos secadores Yankee por infrarrojos.,Variadores vectoriales multieje sincronizados; motores eficientes; tableros de distribución.,https://www.fpc.cl,https://www.linkedin.com/company/forestal-y-papelera-concepcion/,ventas@fpc.cl,1
Cartones San Fernando,96.551.150-4,"Celulosa, Papel y Vidrio",Planta Cartón Corrugado Chimbarongo,O'Higgins,Chimbarongo,"Ondulado térmico de papel Kraft, encolado almidón multicapa y secado por rodillos de vapor continuos.",Control por PLC de temperatura de rodillos y dosificación de almidón; sincronización de la corrugadora HMI.,Transmisores de presión de vapor; sensores de temperatura infrarrojos en film de cartón; barreras de seguridad.,Motores de cintas y rodillos corrugadores con VFD; celdas eléctricas estándar de baja tensión.,https://www.cartonessanfernando.cl,https://www.linkedin.com/company/cartones-san-fernando/,contacto@cartonessf.cl,2
Kimberly-Clark Chile S.A.,96.888.460-3,"Celulosa, Papel y Vidrio",Planta Conversión Lampa,Metropolitana,Lampa,"Conversión rápida de papel tissue en pañales y rollos higiénicos, y empaque robotizado rápido.",Automatización secuencial rápida mediante PLCs de gama alta; control de movimiento de servomotores de corte y embalaje.,Barreras de seguridad fotoeléctricas de seguridad industrial; sensores inductivos de alta frecuencia.,Servovariadores vectoriales multieje; servomotores de alto posicionamiento dinámico; tableros de fuerza.,https://www.kimberly-clark.com/es-cl/,https://www.linkedin.com/company/kimberly-clark/,ventaschile@kcc.com,2
CMPC Biopackaging,90.222.000-3,"Celulosa, Papel y Vidrio",Planta Puente Alto Biopackaging,Metropolitana,Puente Alto,"Molienda de cartón reciclado para pulpa, conformado e impresión de planchas y cajas de cartón corrugado.",Control de mezclado e hidratación de pulpa por PLC; control automático de tensión y registro en troqueladoras.,Sensores de proximidad e inductivos en rodillos de troqueladora; encoders incrementales de posicionamiento.,Variadores de velocidad en motores de cintas y mezcladores; motores eficientes; tableros eléctricos.,https://www.cmpc.com,https://www.linkedin.com/company/cmpc/,biopackaging@cmpc.cl,6
Watt's S.A.,76.455.830-8,Alimentos y Bebidas,Planta Linares Jugos,Maule,Linares,Evaporación de jugos de frutas y pasteurización flash de néctares y salsas de tomate.,Control PID de temperatura en pasteurizador; control de nivel analógico de evaporadores multietapa por PLC.,Flujómetros electromagnéticos sanitarios; sensores de conductividad sanitarios para retorno CIP.,Variadores de frecuencia IP66 en bombas centrífugas sanitarias; tableros de fuerza auxiliares.,https://www.watts.cl,https://www.linkedin.com/company/watts-s.a./,linares@watts.cl,6
Ideal S.A. (Grupo Bimbo),82.623.500-4,Alimentos y Bebidas,Planta Quilicura,Metropolitana,Quilicura,"Preparación automática de masa de panificación, fermentación continua y horneado en hornos rotativos continuos de gran tamaño.",Control PID de temperatura multizona de hornos de panificación continuos; control automático de amasadoras por PLC.,Analizadores de humedad en masa continua; termocuplas multizona; sensores fotoeléctricos de paso de bandejas.,Variadores de velocidad para rodillos transportadores y extractores de calor; motores estándar eficientes.,https://www.ideal.cl,https://www.linkedin.com/company/ideal-s-a-chile/,ventas@ideal.cl,3
Tres Montes Lucchetti S.A. (Grupo Nutresa),99.550.580-0,Alimentos y Bebidas,Planta Santiago,Metropolitana,Santiago,"Molienda de trigo, extrusión de sémola para pastas y secado térmico continuo de pastas secas.",SCADA de supervisión de silos de sémola; control automático de velocidad de extrusores de rodillo por PLC HMI.,Celdas de carga y medidores de nivel de radar guiado en silos; encoders ópticos de velocidad de rodillo.,Motores eficientes VFD en extrusores; tableros de distribución de fuerza en baja tensión.,https://www.tresmontes.com,https://www.linkedin.com/company/tres-montes-lucchetti-s.a./,contacto@tresmontes.com,4
Ariztía S.A.,83.614.800-2,Alimentos y Bebidas,Planta Faenamiento Melipilla,Metropolitana,Melipilla,"Faenamiento automatizado de aves, empaque rápido al vacío y refrigeración industrial por amoniaco.",SCADA de refrigeración y monitoreo de compresores de amoniaco; control PLC de transportadores de cadena aéreos.,Detectores de amoniaco fijos; termómetros de inmersión en túneles de frío; sensores inductivos.,Arrancadores de compresores; motores con VFD de alta eficiencia con protección contra agua IP66.,https://www.ariztia.cl,https://www.linkedin.com/company/ariztia/,ventas@ariztia.cl,6
Agrozzi (Carozzi),96.591.040-9,Alimentos y Bebidas,Planta Teno Pulpas,Maule,Teno,"Concentración al vacío de frutas y tomates, y envasado aséptico en bolsas industriales.",Control PID de temperatura en pasteurizadores y evaporadores; control Batch de adición de catalizadores por PLC.,Medidores de flujo electromagnéticos sanitarios; sensores de presión diferencial de vacío.,Motores inoxidables IP69K; VFDs en bombas de pulpa; celdas de fuerza de baja tensión.,https://www.carozzi.cl,https://www.linkedin.com/company/carozzi-s-a-/,agrozzi@carozzi.cl,2
Sopraval S.A. (Agrosuper),82.366.700-0,Alimentos y Bebidas,Planta La Calera Pavos,Valparaíso,La Calera,"Faenamiento automatizado de pavos, procesamiento de hamburguesas y empaque rápido al vacío.",Control de línea transportadora y SCADA de compresores de frío; control automático de mezclado por PLC.,Termómetros en salas de empaque frío; detectores de gases tóxicos en sala de compresores; encoders.,Arrancadores de compresores; VFDs en transportadores; motores IP66 con resistencia al chorro de agua.,https://www.sopraval.cl,https://www.linkedin.com/company/sopraval/,ventas@sopraval.cl,3
Coca-Cola Embonor S.A.,93.281.000-K,Alimentos y Bebidas,Planta Envasado Talca,Maule,Talca,"Soplado de botellas PET, mezclado continuo de jarabes, envasado rápido de gaseosas y empaque rápido.",SCADA de supervisión de líneas de llenado rápido; control PID de temperatura en carbonatadores por PLC.,Medidores de flujo Coriolis sanitarios; sensores inductivos en llenadora; sensores de presión en sopladoras PET.,Variadores vectoriales de velocidad para cintas de botellas; motores eficientes; tableros de fuerza de baja tensión.,https://www.embonor.cl,https://www.linkedin.com/company/coca-cola-embonor/,contactotalca@embonor.cl,8
Wacker Química Chile Ltda,76.046.223-3,"Química, Petroquímica y Gases",Planta Polímeros Santiago,Metropolitana,Colina,Mezclado Batch de dispersiones poliméricas redispersables para adhesivos secos y morteros de construcción.,Control Batch de mezclado por PLC; SCADA HMI de supervisión del ciclo de dosificación por peso.,Celdas de carga de alta precisión para balanzas; flujómetros magnéticos de polímero líquido.,Variadores de velocidad para mezcladores de alta viscosidad; tableros eléctricos y de fuerza.,https://www.wacker.com,https://www.linkedin.com/company/wacker/,info.chile@wacker.com,1
BASF Chile S.A.,80.043.600-1,"Química, Petroquímica y Gases",Planta Santiago Químicos,Metropolitana,Quilicura,Dosificación y mezclado de formulaciones de poliuretano industrial y resinas sintéticas auxiliares.,Control por PLC de dosificación gravimétrica en mezcladoras Batch; HMI local de recetas de aditivos.,Celdas de carga en mezcladora; medidores de caudal electromagnéticos de disolventes.,Variadores de velocidad en bombas de transferencia; motores Ex en mezcladora; tableros eléctricos.,https://www.basf.com/cl,https://www.linkedin.com/company/basf/,santiago@basf.com,3
Clariant Chile Ltda,80.853.400-2,"Química, Petroquímica y Gases",Planta Especialidades Químicas Maipú,Metropolitana,Maipú,Reactores de emulsión para la producción de especialidades químicas para la industria textil y minería.,Control PID de temperatura en reactores Batch; automatización de limpieza CIP por PLC.,Termocuplas con vaina de teflón; caudalímetros electromagnéticos de ácidos y disolventes.,VFDs para agitadores; tableros eléctricos estancos NEMA; motores Ex en salas de reactores.,https://www.clariant.com,https://www.linkedin.com/company/clariant/,contacto@clariant.com,1
