Categoria_CEN,Empresa,Sigla,RUT,Oportunidad_Comercial
Generación,DOÑA ANTONIA SOLAR SPA,DAS,76.607.598-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,DOÑA JAVIERA VALLEDOR SPA,DJV,76.768.342-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,DRACO SOLAR SPA,DRACOSOL,76.179.092-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,DUERO ENERGÍA COPIULEMU SPA,DEC,76.956.463-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ECLIPSE SOLAR SPA,ECLIPSES,76.111.626-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,"ECOMETALES LIMITED, AGENCIA EN CHILE",ELAE,76.984.459-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,EDELNOR TRANSMISIÓN S.A.,ETSA,90.351.239-3,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,EDGECONNEX CHILE V SPA,EDGECONN,76.263.864-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EERM ENERGÍAS DEL FUTURO S.A.,EEFS,76.814.543-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,EFE VALPARAÍSO S.A.,EVSA,90.670.241-K,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,EKA CHILE S.A.,ESA,76.813.442-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EL AGRIO HIDRO SPA,EAH,76.996.117-8,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,EL CASTAÑO SPA,ELCASTA,76.520.050-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EL CONDOR SOLAR SPA,ECS,76.001.246-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,EL MIRADOR SPA,ELMIRADO,76.149.746-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EL OLIVAR SOLAR SPA,EOS,76.411.202-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,EL PELÍCANO SOLAR COMPANY SPA,EPSC,76.604.573-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,EL PERAL SPA,ELPERAL,76.006.942-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ELEKTRA GENERACIÓN S.A.,EGSA,76.142.951-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,ELETRANS S.A.,ESA,90.445.272-6,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,ELÉCTRICA CIPRESILLOS SPA,ELCTRIC,76.778.609-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ELÉCTRICA MOKA SPA,ELCTRIC,76.401.082-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ELÉCTRICA NUEVA ENERGÍA S.A.,ENES,76.928.742-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ELÉCTRICA PINARES LIMITADA,ELCTRIC,76.749.497-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ELÉCTRICA PUNTILLA S.A.,EPSA,76.369.494-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ELÉCTRICA RASO POWER LTDA.,ERP,76.870.498-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMOAC SPA,EMOAC,76.183.022-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,EMPRESA DE LOS FERROCARRILES DEL ESTADO,ELFE,90.896.430-6,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Transmisión,EMPRESA DE TRANSMISIÓN ELÉCTRICA TRANSEMEL S.A.,ETET,90.942.446-1,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Cliente Libre,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,ETPM,90.704.398-3,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,EMPRESA ELÉCTRICA ANGAMOS SPA,EEA,76.480.461-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,EMPRESA ELÉCTRICA CAPULLO S.A.,EECS,90.676.309-5,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,EMPRESA ELÉCTRICA CARÉN S.A.,EECS,76.684.100-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA DE AYSÉN S.A.,EEAS,76.158.417-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA DE MAGALLANES S.A.,EEMS,76.652.968-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,EMPRESA ELÉCTRICA DIEGO DE ALMAGRO SPA,EEDA,90.800.114-1,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,EMPRESA ELÉCTRICA EL PINAR SPA,EEEP,76.211.923-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA LA COMPAÑÍA SPA,EELC,76.758.239-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA LA LEONERA S.A.,EELL,76.995.189-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA PEHUENCHE S.A.,EEPS,76.396.553-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA RUCATAYO S.A.,EERS,76.442.358-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA SAN VÍCTOR SPA,EESV,76.497.239-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA TRANQUIL SPA,EET,76.541.983-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA VALLENAR S.A.,EEVS,76.489.066-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EMPRESA ELÉCTRICA VENTANAS SPA,EEV,76.548.147-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,EMPRESA ELÉCTRICAS AGUAS DEL MELADO SPA,EEAM,90.741.148-6,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,"EMPRESA NACIONAL DE MINERÍA, FUNDICIÓN HERNÁN VIDELA LIRA",ENMF,76.840.475-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,EMPRESAS LIPIGAS S.A.,ELSA,90.976.441-6,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,ENAEX S.A.,ESA,90.266.000-3,DCS continuo de alta disponibilidad y SIS certificado SIL3 (ESD) en reactores químicos
Cliente Libre,ENAP REFINERÍAS S.A.,ERSA,92.604.000-6,DCS continuo de alta disponibilidad y SIS certificado SIL3 (ESD) en reactores químicos
Generación,ENCINA SPA,ENCINA,76.544.298-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENEL GENERACIÓN CHILE S.A.,EGSA,96.505.510-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENEL GREEN POWER CHILE S.A.,EGPS,76.937.769-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERBOSCH S.A.,ESA,76.470.863-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGIAS PUDIDI SPA,ENERGIAS,76.874.715-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGY ASSET SPA,ENERGYAS,76.807.935-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGY PARTNERS SPA,ENERGYPA,76.663.809-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,ENERGÍA ATACAMA S.A.,EASA,90.908.044-4,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,ENERGÍA CERRO EL MORADO S.A.,ECEM,76.189.966-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA COLLIL S.A.,ECSA,76.421.956-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA DE LA PATAGONIA Y AYSÉN SPA,ELPA,76.817.300-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA EÓLICA LOS OLMOS SPA,EELO,76.969.521-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA EÓLICA MESAMÁVIDA SPA,EEM,76.033.330-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA EÓLICA SAN MATÍAS SPA,EESM,76.346.250-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA FIRST SPA,ENERGAF,76.377.684-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA GENERACIÓN SPA,ENERGAG,76.267.194-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA LEÓN S.A.,ELSA,76.099.692-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA MORRO GUAYACÁN SPA,EMG,76.981.164-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA PACÍFICO S.A.,EPSA,76.024.568-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA RENOVABLE ENCINO SPA,ERE,76.810.930-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍA RENOVABLE ROBLE SPA,ERR,76.243.046-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,ENERGÍA RENOVABLE RUCAPAINE SPA,ERR,90.535.323-3,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,ENERGÍA SIETE SPA,ENERGAS,76.876.845-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍAS RENOVABLES EL BOLDO SPA,EREB,76.640.057-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍAS RENOVABLES HOLDING S.A.,ERHS,76.267.497-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍAS UCUQUER DOS S.A.,EUDS,76.434.333-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERGÍAS UCUQUER S.A.,EUSA,76.509.244-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERKEY SPA,ENERKEY,76.941.301-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERNUEVAS S.A.,ESA,76.682.197-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENERQUINTA S.A.,ESA,76.743.503-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENFRAGEN CHILE SOLAR SPA,ENFRAGEN,76.823.521-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ENGIE ENERGÍA CHILE S.A.,EESA,90.160.000-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENLASA GENERACIÓN CHILE S.A.,EGSA,76.721.766-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENLIGHT INVESTMENTS SPA,ENLIGHTI,76.169.123-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ENORCHILE S.A.,ESA,76.087.120-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ESPINOS S.A.,ESA,76.999.930-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ESTREMERA ENERGÍA SPA,ESTREMER,76.913.006-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EUROPEAN SOUTHERN OBSERVATORY,ESO,76.227.598-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EVOL SPA,EVOL,76.239.329-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EÓLICA LA ESPERANZA S.A.,ELES,76.236.922-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EÓLICA MONTE REDONDO SPA,EMR,76.325.791-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,EÓLICO LAS PEÑAS SPA,ELP,76.382.496-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Distribución,FACTOR LUZ SPA,FACTORLU,90.717.706-8,"Sistemas SCADA de Distribución, telecontrol de reconectadores y celdas de media tensión en subestaciones"
Generación,FARMDO ENERGY CHILE SPA,FARMDOEN,76.316.855-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,FARO CORONA SPA,FAROCORO,76.244.289-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,FAROL SOLAR SPA,FAROLSOL,76.580.696-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FENSTER ENERGY TRADING SPA,FET,76.292.181-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,FIRME ENERGÍA SPA,FIRMEENE,76.512.099-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,FLORIDA ENERGÍA SPA,FLORIDAE,76.308.395-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,FORESTAL NELTUME CARRANCO S.A.,FNCS,90.862.234-0,"DCS continuo para digestores kraft y calderas de cogeneración por biomasa, integración SAS"
Cliente Libre,FORESTAL Y PAPELERA CONCEPCIÓN S.A.,FPCS,90.194.109-2,"DCS continuo para digestores kraft y calderas de cogeneración por biomasa, integración SAS"
Generación,FOTOVOLTAICA ACACIA SPA,FOTOVOLT,76.822.849-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA ALFA SPA,FOTOVOLT,76.432.866-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA ARIZTÍA SPA,FOTOVOLT,76.187.070-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA AVELLANO SPA,FOTOVOLT,76.855.471-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA CIPRES SPA,FOTOVOLT,76.530.367-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA DE LOS ANDES SPA,FLA,76.984.369-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA DEL DESIERTO SPA,FOTOVOLT,76.042.642-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA EL MANZANO SPA,FEM,76.937.633-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA LA LIGUA SPA,FLL,76.991.108-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA MAÑIO SPA,FOTOVOLT,76.516.828-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA NORTE GRANDE 5 SPA,FNG5,76.757.178-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA PEUMO SPA,FOTOVOLT,76.696.339-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA PUEBLO HUNDIDO SPA,FPH,76.177.508-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA SANTA ROSARIO SPA,FSR,76.468.688-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA SOL DEL NORTE SPA,FSN,76.436.564-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA SOLAR LAUREL SPA,FSL,76.989.925-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FOTOVOLTAICA VALLE ALEGRE SPA,FVA,76.271.110-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FUNDICIÓN TALLERES LTDA.,FUNDICI,76.098.150-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,FV RINCONADA SPA,FVRINCON,76.556.489-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FV SANTA LAURA SPA,FSL,76.458.814-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,FÉNIX SOLAR SPA,FNIXSOL,76.759.202-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,GAS SUR S.A.,GSSA,90.079.828-8,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,GENERACIÓN DE ENERGÍA NUEVA DEGAN SPA,GEND,76.595.004-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERACIÓN SOLAR SPA,GENERACI,76.940.244-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,GENERADORA ANTILHUE SPA,GENERADO,76.859.442-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA AZUL SPA,GENERADO,76.045.080-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,GENERADORA CALAFATE SPA,GENERADO,90.308.204-6,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,GENERADORA DEL PACÍFICO SPA,GENERADO,76.845.965-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA ELÉCTRICA KALTEMP LTDA.,GEK,76.675.141-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA ELÉCTRICA MARÍA ELENA LTDA,GEME,76.543.997-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA ELÉCTRICA PEHUI LTDA,GEP,76.833.847-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA ELÉCTRICA RHOM LTDA,GER,76.558.150-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA ERMITAÑO SPA,GENERADO,76.932.378-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA ESTANCILLA SPA,GENERADO,76.256.003-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,GENERADORA LA CALERA SPA,GLC,90.832.923-6,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,GENERADORA LOS HIBISCOS SPA,GLH,76.797.737-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,GENERADORA METROPOLITANA SPA,GENERADO,90.501.584-2,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,GENERADORA MIMBRE SPA,GENERADO,76.387.013-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA SOL SOLIV SPA,GSS,76.170.469-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GENERADORA ZAPALLAR SPA,GENERADO,76.865.881-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GEOTÉRMICA DEL NORTE S.A.,GNSA,76.658.968-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GESTEL INGENIERÍA LIMITADA,GESTELIN,76.544.562-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GESTIÓN DE PROYECTOS ELÉCTRICOS S.A,GPES,76.428.968-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GM ENERGY SPA,GMENERGY,76.115.288-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GM HOLDINGS S.A.,GSA,76.726.201-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GNL QUINTERO S.A.,GQSA,76.352.061-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Distribución,GPG GENERACIÓN DISTRIBUIDA SPA,GGD,90.471.442-9,"Sistemas SCADA de Distribución, telecontrol de reconectadores y celdas de media tensión en subestaciones"
Generación,GR ALERCE ANDINO SPA,GAA,76.449.838-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR ALGARROBO SPA,GRALGARR,76.066.615-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR ARAUCARIA SPA,GRARAUCA,76.871.358-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR CANELO SPA,GRCANELO,76.850.595-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR CARZA SPA,GRCARZA,76.541.684-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR CHAQUIHUE SPA,GRCHAQUI,76.706.547-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR CHAÑAR SPA,GRCHAAR,76.712.665-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR CIPRÉS SPA,GRCIPRS,76.303.799-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR GUINDO SPA,GRGUINDO,76.414.159-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR LIUN SPA,GRLIUN,76.898.490-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR LLEUQUE SPA,GRLLEUQU,76.868.832-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR PILO SPA,GRPILO,76.815.130-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR PITAO SPA,GRPITAO,76.508.320-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR PIÑOL SPA,GRPIOL,76.679.837-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR POWER CHILE SPA,GRPOWER,76.972.479-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR RUIL SPA,GRRUIL,76.661.987-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,GR SOLIS TRANSMISIÓN SPA,GST,90.962.919-5,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,GR TAMARUGO SPA,GRTAMARU,76.465.285-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GR TORRES DEL PAINE SPA,GTP,76.408.286-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GRACE S.A.,GSA,76.530.675-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GRANADA SPA,GRANADA,76.411.903-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GS INIMA CHILE S.A.,GISA,76.597.243-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,GUACOLDA ENERGÍA SPA,GUACOLDA,96.671.040-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
